control_id,process,sub_process,risk_id,risk_title,risk_description,wcgw,control_id_ref,control_title,control_description,control_type,control_nature,frequency,assertion,owner_function,key_control,automation,evidence_expected,test_procedure,referential_mapping
P2P-011,Procure-to-Pay,Invoice Processing,R-P2P-11,Facture sans commande,Paiement d'une facture sans PO préalable,Achat non autorisé régularisé après coup,C-P2P-11,Procédure d'achat sans PO encadrée,Les factures sans PO (catégories autorisées) doivent être validées par manager + Finance,Détectif,Manuel,Permanent,Autorisation,Finance,Non,Semi-auto,Liste factures sans PO + justifications,Extraire les factures sans PO. Vérifier la catégorie et la double validation.,COSO
P2P-012,Procure-to-Pay,Payment,R-P2P-12,Paiement non autorisé,Décaissement sans validation hiérarchique appropriée,Détournement par contournement de la matrice de signature,C-P2P-12,Matrice de signatures bancaires multi-niveaux,1 sig jusqu'à 10k - 2 sig 10-100k - 2 sig dont dirigeant >100k,Préventif,Manuel,Permanent,Autorisation,Trésorerie,Oui,Manuel,Matrice signatures + fichiers signés,Sélectionner 25 paiements de chaque tranche. Vérifier la conformité à la matrice.,COSO / SOX
P2P-013,Procure-to-Pay,Payment,R-P2P-13,Paiement vers compte non maître,Paiement vers un IBAN non présent dans la base fournisseurs,Fraude au virement (CEO fraud),C-P2P-13,Cohérence IBAN paiement vs master,Le fichier de paiement est rapproché de la base fournisseurs avant transmission,Préventif,Automatique,Permanent,Existence,Trésorerie,Oui,Auto,Log de rapprochement + exceptions,Tenter d'introduire un IBAN différent. Vérifier le blocage.,ANSSI / AFA
P2P-014,Procure-to-Pay,Payment,R-P2P-14,Paiement vers pays sensible,Paiement vers une juridiction sanctionnée,Violation des sanctions internationales,C-P2P-14,Screening anti-blanchiment et sanctions,Tout paiement international screené contre OFAC/UE/ONU avant exécution,Préventif,Automatique,Continu,Conformité,Compliance,Oui,Auto,Logs du screening + hits investigués,Tester avec un nom de la liste OFAC. Vérifier le screening.,AFA / FATF
P2P-015,Procure-to-Pay,Reconciliation,R-P2P-15,Compte fournisseur non lettré,Écritures non lettrées anciennes sur les comptes fournisseurs,Risque de dissimulation de fraude ou erreur,C-P2P-15,Lettrage et analyse mensuelle,Lettrage automatique mensuel + revue manuelle des écritures >60 jours,Détectif,Manuel,Mensuel,Exactitude,Comptabilité Fournisseurs,Non,Semi-auto,Balance âgée + justifications,Sélectionner 20 items >60j non lettrés. Demander justification et action.,COSO
OTC-001,Order-to-Cash,Customer Master Data,R-OTC-01,Client fictif ou non vérifié,Création d'un client fictif permettant des ventes frauduleuses ou contournement des limites de crédit,Un commercial crée un client fictif pour gonfler ses chiffres ou détourner,C-OTC-01,Validation par un tiers de la création de client,Toute création de client validée par une personne distincte du demandeur. KYC documenté,Préventif,Manuel,Permanent,Existence,Crédit / Comptabilité,Oui,Semi-auto,Workflow ERP + dossier KYC,Sélectionner 25 créations de clients. Vérifier validation indépendante et complétude KYC.,COSO / SOX
OTC-002,Order-to-Cash,Customer Master Data,R-OTC-02,Limite de crédit non revue,Limites de crédit obsolètes exposant à des impayés,Client en difficulté financière conserve une limite de crédit élevée,C-OTC-02,Revue annuelle des limites de crédit,Revue annuelle de toutes les limites avec scoring crédit. Mise à jour ou retrait selon analyse,Détectif,Manuel,Annuel,Évaluation,Direction Crédit,Oui,Semi-auto,Rapport de revue + scores crédit,Échantillonner 30 clients actifs. Vérifier date de dernière revue et cohérence avec score.,COSO
OTC-003,Order-to-Cash,Customer Master Data,R-OTC-03,Modification non autorisée RIB client,Modification frauduleuse pour rediriger un remboursement,Modification interne ou externe pour détourner un remboursement,C-OTC-03,Double validation des modifications RIB,Toute modification de RIB de remboursement nécessite double validation et trace,Préventif,Manuel,Permanent,Existence,Comptabilité Clients,Oui,Manuel,Workflow + journal d'audit,Sélectionner 15 modifications. Vérifier double validation et justification.,ANSSI / AFA
OTC-004,Order-to-Cash,Order Entry,R-OTC-04,Commande au-delà de la limite de crédit,Acceptation d'une commande dépassant l'encours autorisé,Pression commerciale fait passer outre la limite de crédit,C-OTC-04,Blocage automatique sur dépassement crédit,L'ERP bloque toute commande qui ferait dépasser la limite. Override Direction Crédit uniquement,Préventif,Automatique,Continu,Évaluation,Crédit / IT,Oui,Auto,Paramétrage ERP + log overrides,Tester un dépassement. Lister tous les overrides et vérifier les autorisations.,COSO / SOX
OTC-005,Order-to-Cash,Order Entry,R-OTC-05,Prix ou remise non autorisé,Application d'un prix ou d'une remise hors barème,Avantage indu accordé à un client par un commercial,C-OTC-05,Matrice de délégation des prix et remises,Toute remise au-delà du barème nécessite validation hiérarchique selon matrice,Préventif,Manuel,Permanent,Autorisation,Direction Commerciale,Oui,Semi-auto,Matrice + workflow d'approbation,Échantillonner 30 commandes avec remises. Vérifier la conformité à la matrice.,COSO
OTC-006,Order-to-Cash,Shipping,R-OTC-06,Livraison sans commande,Expédition de marchandises sans bon de commande validé,Vol ou cadeau non autorisé,C-OTC-06,Matching commande - livraison,L'ERP exige une commande validée avant édition du bon de livraison,Préventif,Automatique,Continu,Existence,Logistique / IT,Oui,Auto,Paramétrage ERP,Tenter une expédition sans commande. Vérifier le blocage.,COSO / SOX
OTC-007,Order-to-Cash,Shipping,R-OTC-07,Cut-off de livraison,Erreur de période d'enregistrement des livraisons en fin de période,Comptabilisation décalée gonflant ou minorant le CA,C-OTC-07,Procédure de cut-off documentée et testée,Procédure formelle de cut-off avec rapprochement physique fin de période,Détectif,Manuel,Mensuel,Cut-off,Logistique / Comptabilité,Oui,Manuel,Procédure + PV de cut-off,Vérifier 10 dernières livraisons du mois et 10 premières du suivant. Conformité comptable.,COSO / SOX
OTC-008,Order-to-Cash,Invoicing,R-OTC-08,Facture non émise pour livraison,Livraison effectuée sans facture émise,Perte de revenu ou erreur de facturation,C-OTC-08,Rapprochement automatique livraisons / factures,Rapport quotidien des livraisons sans facture émise sous 48h. Suivi par Comptabilité,Détectif,Automatique,Quotidien,Exhaustivité,Comptabilité Clients,Oui,Auto,Rapport de rapprochement + actions,Extraire les livraisons sans facture sur la période. Documenter les raisons.,COSO / SOX
OTC-009,Order-to-Cash,Invoicing,R-OTC-09,Facture inexacte (prix ou TVA),Facture émise avec un prix erroné ou un taux de TVA incorrect,Erreur de paramétrage ERP ou saisie manuelle,C-OTC-09,Contrôle automatique cohérence prix et TVA,L'ERP applique le tarif catalogue et le taux TVA selon paramétrage. Modifications tracées,Préventif,Automatique,Continu,Exactitude,Comptabilité / IT,Oui,Auto,Paramétrage tarif et TVA + journal,Tenter une saisie hors barème. Échantillonner 25 factures et vérifier les calculs.,COSO / SOX
OTC-010,Order-to-Cash,Revenue Recognition,R-OTC-10,Reconnaissance prématurée du revenu,Comptabilisation du CA avant transfert effectif des risques,Pression sur le résultat fait avancer la reconnaissance,C-OTC-10,Politique de revenue recognition documentée,Politique IFRS 15 / ASC 606 documentée. Validation Comptable pour cas complexes,Préventif,Manuel,Permanent,Cut-off,Comptabilité / DAF,Oui,Manuel,Politique + dossiers de validation,Échantillonner 20 contrats complexes. Vérifier cohérence avec la politique.,IFRS 15 / SOX
OTC-011,Order-to-Cash,Cash Application,R-OTC-11,Encaissement mal alloué,Encaissement affecté à un mauvais compte client,Erreur de saisie ou détournement par lettrage frauduleux,C-OTC-11,Lettrage automatique avec contrôle des écarts,Lettrage automatique sur référence facture. Revue manuelle des écarts,Détectif,Automatique,Quotidien,Exactitude,Comptabilité Clients,Oui,Semi-auto,Rapport de lettrage + écarts,Extraire les encaissements non lettrés. Échantillonner et investiguer.,COSO
OTC-012,Order-to-Cash,Credit Notes,R-OTC-12,Avoir non justifié,Émission d'un avoir client sans justification valide,Détournement par avoir frauduleux à un complice,C-OTC-12,Validation indépendante des avoirs,Tout avoir au-delà d'un seuil validé par un manager indépendant du commercial,Préventif,Manuel,Permanent,Autorisation,Direction Commerciale,Oui,Semi-auto,Workflow + justificatifs,"Sélectionner 25 avoirs. Vérifier la validation et la justification (retour, litige).",COSO / SOX
OTC-013,Order-to-Cash,Collections,R-OTC-13,Créances anciennes non provisionnées,Impayés non identifiés ou non dépréciés,Surévaluation des créances clients au bilan,C-OTC-13,Provisionnement systématique selon balance âgée,Provision auto selon antériorité. Revue trimestrielle au cas par cas,Détectif,Manuel,Trimestriel,Évaluation,Comptabilité / DAF,Oui,Semi-auto,Balance âgée + politique de provision,Recalculer la provision sur la balance âgée. Vérifier les cas spécifiques.,COSO / IFRS 9
OTC-014,Order-to-Cash,Collections,R-OTC-14,Passage en perte sans validation,Sortie d'une créance des comptes sans autorisation appropriée,Dissimulation d'un détournement par passage en perte,C-OTC-14,Matrice de validation des passages en perte,Toute écriture de perte sur créance validée selon matrice montant. >100k = Direction,Préventif,Manuel,Permanent,Autorisation,DAF,Oui,Manuel,Matrice + dossiers de validation,Lister tous les passages en perte. Vérifier les autorisations selon montants.,COSO / SOX
OTC-015,Order-to-Cash,Reconciliation,R-OTC-15,Sous-grand-livre clients non rapproché,Écart entre la balance auxiliaire et le grand livre,Erreur ou manipulation comptable non détectée,C-OTC-15,Rapprochement mensuel sous-grand-livre / GL,Rapprochement formalisé chaque mois. Validation par responsable comptable,Détectif,Manuel,Mensuel,Exactitude,Comptabilité Clients,Oui,Semi-auto,Rapprochement signé,Sélectionner 3 mois. Vérifier le rapprochement et la résolution des écarts.,COSO / SOX
RTR-001,Record-to-Report,Journal Entries,R-RTR-01,Écriture manuelle non autorisée,Saisie d'une écriture comptable manuelle sans validation,Manipulation des comptes par écriture non revue,C-RTR-01,Workflow d'approbation des écritures manuelles,Toute écriture manuelle saisie par un préparateur et validée par un réviseur indépendant,Préventif,Manuel,Permanent,Autorisation,Comptabilité,Oui,Semi-auto,Workflow ERP + journal d'audit,Échantillonner 30 écritures manuelles. Vérifier préparateur ≠ réviseur et validation.,COSO / SOX
RTR-002,Record-to-Report,Journal Entries,R-RTR-02,Écriture passée hors période d'ouverture,Écriture passée sur une période fermée,Modification rétroactive des comptes,C-RTR-02,Verrouillage automatique des périodes,L'ERP bloque toute saisie sur période fermée. Réouverture nécessite approbation DAF,Préventif,Automatique,Continu,Cut-off,IT / Comptabilité,Oui,Auto,Paramétrage périodes + log de réouverture,Tester une saisie sur période fermée. Lister les réouvertures et leurs motifs.,COSO / SOX
RTR-003,Record-to-Report,Journal Entries,R-RTR-03,Écriture passée par utilisateur incompatible,Cumul de droits ERP permettant manipulation,Préparation et validation par la même personne,C-RTR-03,Ségrégation des tâches sur les écritures,Matrice SoD ERP : préparation et validation des écritures séparées par profil,Préventif,Automatique,Continu,Autorisation,IT / Comptabilité,Oui,Auto,Matrice SoD + rapport droits,Extraire la matrice SoD. Identifier les conflits sur les écritures.,COSO / SOX
RTR-004,Record-to-Report,Account Reconciliations,R-RTR-04,Compte de bilan non rapproché,Compte de bilan présentant un solde non justifié,Erreur ou manipulation non détectée,C-RTR-04,Rapprochement mensuel des comptes de bilan,Tous les comptes de bilan rapprochés mensuellement. Validation hiérarchique,Détectif,Manuel,Mensuel,Exactitude,Comptabilité,Oui,Semi-auto,Dossiers de rapprochement signés,Échantillonner 15 comptes. Vérifier le rapprochement et la résolution des items en suspens.,COSO / SOX
RTR-005,Record-to-Report,Account Reconciliations,R-RTR-05,Items en suspens non résolus,Items réconciliants non traités s'accumulant dans le temps,Dissimulation d'erreurs ou de fraudes,C-RTR-05,Aging et escalade des items en suspens,Items >90j escaladés au DAF mensuellement avec plan de résolution,Détectif,Manuel,Mensuel,Exactitude,Comptabilité / DAF,Non,Semi-auto,Rapport aging + plans d'action,Extraire la liste des items en suspens >90j. Vérifier le suivi.,COSO
RTR-006,Record-to-Report,Intercompany,R-RTR-06,Écart d'élimination intercompagnie,Différence non éliminée entre filiales lors de la consolidation,Double comptage ou perte de revenu non éliminé,C-RTR-06,Rapprochement intercompagnie mensuel,Rapprochement formalisé entre toutes les entités. Écarts >seuil investigués,Détectif,Manuel,Mensuel,Exactitude,Comptabilité Groupe,Oui,Semi-auto,Matrice IC + rapprochements,Extraire les écarts IC sur la période. Vérifier la résolution.,COSO / SOX
RTR-007,Record-to-Report,Closing,R-RTR-07,Délai de clôture non respecté,Clôture publiée en retard ou bouclée précipitamment,Qualité dégradée ou information non fiable,C-RTR-07,Calendrier de clôture détaillé et suivi,Calendrier J+ détaillé par étape. Réunion quotidienne pendant le closing,Préventif,Manuel,Mensuel,Exhaustivité,Comptabilité / DAF,Non,Manuel,Calendrier + comptes-rendus,Vérifier le respect du calendrier sur 3 clôtures. Lister les retards et causes.,COSO
RTR-008,Record-to-Report,Closing,R-RTR-08,Provision non documentée,Provision passée sans justification ou sous-évaluée,Lissage du résultat (cookie jar accounting),C-RTR-08,Dossier de provision avec justificatif,"Toute provision >seuil documentée avec hypothèses, calcul et validation DAF",Préventif,Manuel,Mensuel,Évaluation,DAF,Oui,Manuel,Dossiers de provision,Échantillonner 15 provisions. Vérifier la documentation et la validation.,COSO / SOX
RTR-009,Record-to-Report,Closing,R-RTR-09,Estimations comptables biaisées,"Hypothèses retenues pour estimations (impairment, dépréciations) biaisées",Manipulation du résultat par hypothèses,C-RTR-09,Revue indépendante des hypothèses,Hypothèses des estimations significatives revues par DAF et auditeurs externes,Détectif,Manuel,Trimestriel,Évaluation,DAF / Audit Externe,Oui,Manuel,Notes d'hypothèses + revues,Vérifier la cohérence des hypothèses dans le temps. Comparer aux benchmarks sectoriels.,COSO / IFRS
RTR-010,Record-to-Report,Consolidation,R-RTR-10,Erreur de conversion de devises,Mauvaise application du taux de change en consolidation,Distorsion des comptes consolidés,C-RTR-10,Paramétrage centralisé des taux de change,Taux centralisés mensuellement. Application automatique selon norme (clôture / moyen),Préventif,Automatique,Mensuel,Exactitude,Comptabilité Groupe / IT,Oui,Auto,Table des taux + journal d'application,Recalculer la conversion sur 5 entités. Vérifier le taux appliqué selon le compte.,COSO / IAS 21
RTR-011,Record-to-Report,Consolidation,R-RTR-11,Périmètre de consolidation incomplet,Entité contrôlée non incluse dans le périmètre,Sous-évaluation du groupe,C-RTR-11,Revue trimestrielle du périmètre,"Revue avec Juridique des participations + déclencheurs (acquisition, perte de contrôle)",Préventif,Manuel,Trimestriel,Exhaustivité,Comptabilité Groupe / Juridique,Oui,Manuel,PV de revue + matrice périmètre,Comparer la matrice du périmètre avec les participations Juridique. Vérifier les mouvements.,COSO / IFRS 10
RTR-012,Record-to-Report,Reporting,R-RTR-12,Erreur dans le reporting financier externe,"Information publique inexacte (annexes, communication financière)",Préjudice réputationnel et risque de sanction,C-RTR-12,Revue multi-niveaux du reporting externe,Comptes annuels et communication revus par DAF + Direction Générale + CAC + Comité d'Audit,Détectif,Manuel,Annuel,Exactitude,DAF / Direction,Oui,Manuel,Versions revues + traces de revue,Vérifier la trace de revue à chaque niveau. Recalculer 10 chiffres clés.,COSO / SOX
RTR-013,Record-to-Report,Tax,R-RTR-13,Charge d'impôt mal calculée,Erreur dans la liasse fiscale ou les impôts différés,Risque fiscal et redressement,C-RTR-13,Validation des liasses fiscales par expert,Toute liasse revue par fiscaliste interne ou cabinet externe avant dépôt,Détectif,Manuel,Annuel,Exactitude,Fiscalité,Oui,Manuel,Liasses + notes de revue,Vérifier la trace de revue. Échantillonner 5 retraitements et recalculer.,COSO / IAS 12
RTR-014,Record-to-Report,System Access,R-RTR-14,Accès trop large au grand livre,Utilisateurs avec droits étendus non métier,Risque d'écriture frauduleuse ou erreur,C-RTR-14,Revue trimestrielle des accès comptables,Revue par Comptabilité + IT des profils ayant accès aux écritures et au paramétrage,Détectif,Manuel,Trimestriel,Autorisation,Comptabilité / IT,Oui,Semi-auto,Rapports d'accès + revues,Extraire les utilisateurs avec droits sensibles. Vérifier la justification métier.,COSO / SOX
HR-001,Human Resources,Recruitment,R-HR-01,Recrutement non autorisé,Embauche sans budget validé ou poste approuvé,Coût RH non maîtrisé,C-HR-01,Validation préalable des ouvertures de poste,Toute ouverture validée selon matrice (manager + RH + Finance). Headcount tracé,Préventif,Manuel,Permanent,Autorisation,RH / Finance,Oui,Semi-auto,Workflow d'ouverture de poste,Sélectionner 20 embauches. Vérifier la trace d'ouverture validée préalable.,COSO
HR-002,Human Resources,Recruitment,R-HR-02,Vérification d'antécédents non effectuée,Embauche sans contrôle de références ou de diplômes,Risque réputationnel et fraude,C-HR-02,Background check systématique,Vérification références + diplômes + casier (selon poste) avant signature du contrat,Préventif,Manuel,Permanent,Existence,RH,Oui,Manuel,Dossier candidat avec justificatifs,Échantillonner 25 dossiers d'embauche. Vérifier la complétude des background checks.,COSO
HR-003,Human Resources,Onboarding,R-HR-03,Accès donné avant signature,Création des accès SI avant signature effective du contrat,Risque juridique et sécuritaire,C-HR-03,Liens RH-IT pour création des accès,Création des accès SI déclenchée par signature du contrat dans SIRH (workflow auto),Préventif,Automatique,Permanent,Autorisation,RH / IT,Oui,Auto,Workflow SIRH-IT,Tester un cas. Échantillonner 20 onboardings et vérifier les dates contrat / accès.,COSO / RGPD
HR-004,Human Resources,Onboarding,R-HR-04,Salarié non déclaré,Travail dissimulé par défaut de DPAE,Sanction URSSAF + risque pénal,C-HR-04,DPAE systématique avant prise de poste,DPAE émise au moins 24h avant prise de poste. Trace conservée,Préventif,Manuel,Permanent,Conformité,RH,Oui,Manuel,Accusés DPAE,Échantillonner 25 embauches. Vérifier la DPAE et l'antériorité vs prise de poste.,Code du Travail
HR-005,Human Resources,Employee Data,R-HR-05,Modification non autorisée du salaire ou poste,Modification de paramètres sensibles sans validation,Fraude ou erreur de paie,C-HR-05,Workflow de modification avec double validation,Modifications de salaire / titre / centre de coût validées par manager + RH,Préventif,Manuel,Permanent,Autorisation,RH,Oui,Semi-auto,Workflow SIRH + journal d'audit,Échantillonner 20 modifications. Vérifier la double validation.,COSO / SOX
HR-006,Human Resources,Time and Attendance,R-HR-06,Pointage frauduleux,Saisie de temps non effectivement travaillé,Surcoût payé indûment,C-HR-06,Validation hiérarchique des feuilles de temps,Toutes les feuilles de temps validées par le manager avant traitement paie,Détectif,Manuel,Mensuel,Exactitude,Manager / RH,Oui,Semi-auto,Feuilles validées + workflow,Échantillonner 30 feuilles. Vérifier la trace de validation manager.,COSO
HR-007,Human Resources,Performance,R-HR-07,Bonus calculé sans support,Versement de bonus sans formalisation des critères ou de l'évaluation,Subjectivité ou favoritisme,C-HR-07,Politique bonus formalisée et tracée,Politique bonus écrite. Évaluation et calcul tracés et validés,Préventif,Manuel,Annuel,Exactitude,RH / Direction,Oui,Manuel,Politique + dossiers individuels,Échantillonner 20 bonus. Vérifier la cohérence avec la politique.,COSO
HR-008,Human Resources,Compensation,R-HR-08,Inégalités de rémunération non détectées,Écarts injustifiés H/F ou par catégorie,Risque juridique (Index Egapro),C-HR-08,Analyse annuelle des écarts de rémunération,Calcul Index Egapro + analyse des écarts par catégorie. Plan d'action si écart,Détectif,Manuel,Annuel,Conformité,RH,Oui,Semi-auto,Index Egapro + plans d'action,Recalculer l'Index sur les données paie. Vérifier la cohérence avec le déclaré.,Loi Avenir Pro
HR-009,Human Resources,Offboarding,R-HR-09,Solde de tout compte erroné,Erreur dans le calcul du solde de départ,Risque prud'homal et coût,C-HR-09,Double contrôle des soldes de tout compte,Solde calculé par paie et revu par RH. Validation salarié obtenue,Détectif,Manuel,Permanent,Exactitude,Paie / RH,Oui,Semi-auto,Dossiers de départ,Échantillonner 15 départs. Recalculer et vérifier la trace de revue.,Code du Travail
HR-010,Human Resources,Offboarding,R-HR-10,Accès maintenus après départ,Accès SI / locaux non révoqués lors du départ,Risque sécuritaire et fuite de données,C-HR-10,Désactivation automatique des accès au départ,Workflow RH-IT déclenche révocation automatique le jour J du départ,Préventif,Automatique,Permanent,Existence,RH / IT,Oui,Auto,Workflow + journal IT,Lister 25 départs sur la période. Vérifier la date de désactivation des accès.,COSO / RGPD
HR-011,Human Resources,Compliance,R-HR-11,Formations obligatoires non suivies,Formations sécurité ou conformité non réalisées,Risque accident + sanction,C-HR-11,Suivi des formations obligatoires par SIRH,SIRH suit échéances. Relances auto + escalade manager si retard,Détectif,Automatique,Permanent,Conformité,RH,Non,Auto,Tableau de bord formations,Extraire les formations obligatoires en retard. Vérifier les actions.,Code du Travail
HR-012,Human Resources,Data Privacy,R-HR-12,Données RH accessibles sans besoin métier,Accès large aux données RH au-delà du strict nécessaire,Violation RGPD,C-HR-12,Revue annuelle des accès aux données RH,Revue par RH + DPO des profils ayant accès au SIRH. Principe du moindre privilège,Détectif,Manuel,Annuel,Conformité,RH / DPO / IT,Oui,Semi-auto,Rapport d'accès SIRH + revues,Extraire les utilisateurs SIRH. Vérifier la justification métier de chaque accès.,RGPD
PAY-001,Payroll,Master Data,R-PAY-01,Salarié fictif sur la paie,Maintien d'un salarié fictif ou départ non sorti,Détournement de salaire,C-PAY-01,Rapprochement effectifs paie vs SIRH,Rapprochement mensuel des salariés payés vs effectifs SIRH actifs. Écarts justifiés,Détectif,Automatique,Mensuel,Existence,Paie / RH,Oui,Auto,Rapport de rapprochement,Recalculer l'écart sur 3 mois. Investiguer les écarts non résolus.,COSO / SOX
PAY-002,Payroll,Master Data,R-PAY-02,Modification non autorisée des données paie,"Modification du RIB, salaire, primes sans validation",Fraude ou erreur de paie,C-PAY-02,Workflow de modification + journal d'audit,Toute modification dans le SIRH/Paie tracée et validée selon matrice,Préventif,Manuel,Permanent,Autorisation,Paie,Oui,Semi-auto,Journal SIRH + workflow,Sélectionner 25 modifications. Vérifier la validation et le journal.,COSO / SOX
PAY-003,Payroll,Master Data,R-PAY-03,Modification RIB salarié frauduleuse,Changement de RIB pour rediriger un salaire,Fraude au virement (interne ou externe),C-PAY-03,Double validation des changements de RIB,Changement RIB validé par salarié (auth) + Paie. Délai de carence avant prise en compte,Préventif,Manuel,Permanent,Existence,Paie,Oui,Manuel,Demande signée + workflow,Sélectionner 15 changements RIB. Vérifier double validation et délai.,ANSSI / AFA
PAY-004,Payroll,Calculation,R-PAY-04,Erreur de calcul de paie,Erreur de paramétrage entraînant un calcul de paie incorrect,Préjudice salarié + risque URSSAF,C-PAY-04,Tests de paramétrage à chaque évolution,Tout paramétrage testé avant mise en production. Validation Paie + Comptabilité,Préventif,Manuel,Continu,Exactitude,Paie / IT,Oui,Manuel,Cahier de tests + validations,Vérifier la trace de tests pour 5 évolutions. Recalculer 10 paies.,COSO
